C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30912, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30645, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30789, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30819, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30849, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30879, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30909, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31474, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31474, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31027, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31171, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31201, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31231, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31261, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31291, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31321, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31351, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31381, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31411, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31441, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31471, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39463, Warning - Rule cnl-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 1 of VR-12 - GH1 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 6a of VR-12 - MH3 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 6c of VR-12 - MH4 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 2a of VR-12 - PF2 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 2b of VR-12 - PF4 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 7 of VR-12 - SF2 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 8 of VR-12 - VR12_Qo8 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 9 of VR-12 - VR12_Q09 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 4a of VR-12 - VRE2 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 4b of VR-12 - VRE3 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 3a of VR-12 - VRP2 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 3b of VR-12 - VRP3 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32735, Error - The URL is not valid because '(URL contains 5 Invalid Characters ([ ]))': #opt-item.Question 6b of VR-12 - VT2 (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 32911, Error - Unable to resolve resource with reference 'ICHOM' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34112, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34112, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 33854, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 33993, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34022, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34051, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34080, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34109, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34500, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34500, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34211, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34350, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34379, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34408, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34437, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34467, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34497, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34891, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34891, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34602, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34741, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34770, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34799, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34828, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34858, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 34888, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35411, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35411, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35208, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35348, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35378, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35408, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35718, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35718, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35515, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35655, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35685, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35715, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36225, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36225, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 35965, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36104, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36133, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36162, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36192, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36222, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36724, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36724, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36461, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36601, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36631, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36661, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36691, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36721, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37194, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37194, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 36931, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37071, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37101, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37131, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37161, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37191, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37767, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37767, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37504, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37644, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37674, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37704, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37734, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37764, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38157, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38157, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 37894, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38034, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
